ICP.Seq.No,Group,Sample,Type,Easting,Northing,pH,EC.?S.cm,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn
ENVT_AR_FA_13,8,6,Soil,391323,6466464,7.65,153.6,3852,5.14,22.45,17934,0.15,3.71,12.38,10.89,4509,0.43,158.8,2.34,699.16,42.10,0.27,170.8,0.41,2.32,420.4,52.51,375.28,103.06,1.06,10.09,1.67,96.50
ENVT_AR_FB_32,9,29.1,Soil,391398.6,6466473,6.11,NA,742,1.76,8.66,553,NA,3.33,2.11,4.36,1683,0.29,82.5,1.51,59.86,3.96,0.13,57.6,1.62,0.48,83.5,7.27,346.53,3.67,0.93,2.37,1.20,9.77
ENVT_AR_FB_30,9,30.1,Soil,391302.1,6466411,7.28,NA,396,1.46,27.48,283,NA,1.44,1.17,2.94,1270,NA,41.1,0.75,57.34,2.68,0.08,44.9,0.88,0.38,18.5,7.20,1292.76,2.40,0.51,1.28,0.59,15.92
NA,9,30.2,Soil,391315,6466432,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,31.1,Soil,391378.4,6466402,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,31.2,Soil,391365.3,6466399,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,32.1,Soil,391402.1,6466393,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,32.2,Soil,391399.1,6466430,6.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,NA,Sediment,391380,6466442,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,9,NA,Sediment,391384,6466409,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENVT_AR_FB_19,10,33.1,Soil,391305,6466411,6.86,75.4,1807,3.13,25.50,1519,0.19,2.31,4.27,10.58,2477,0.29,112.5,1.30,207.83,51.35,0.28,77.9,0.40,3.19,146.7,48.20,188.58,8.38,0.63,3.96,0.79,65.78
ENVT_AR_FB_20,10,34.1,Soil,391359,6466365,7.46,41.2,4109,2.56,6.37,1336,NA,9.14,8.12,3.52,2952,0.53,112.3,2.64,128.21,42.52,0.35,69.7,2.49,3.46,224.3,3.88,102.79,7.56,1.71,7.35,1.35,8.58
ENVT_AR_FB_21,10,34.2,Soil,391352,6466375,7.56,90.6,2433,3.26,19.99,30472,0.17,2.50,8.45,21.90,3539,0.43,117.2,1.56,1471.33,26.38,0.27,244.7,NA,8.07,296.2,39.47,387.19,186.17,1.64,6.55,1.09,164.01
ENVT_AR_FB_17,10,35.1,Soil,391399,6466355,7.44,152.6,2623,5.86,21.13,5024,0.12,3.67,10.76,18.43,4341,0.62,198.0,1.68,484.00,43.07,0.60,113.9,0.88,5.39,595.8,38.05,422.08,21.13,1.19,7.16,1.56,106.99
ENVT_AR_FB_16,10,35.2,Soil,391387,6466365,7.59,195.8,3600,2.73,10.95,5778,0.06,6.54,6.36,3.81,2453,0.42,202.9,1.84,461.80,84.17,0.30,158.3,1.11,1.31,171.2,3.23,279.07,38.39,1.20,5.51,0.92,18.15
ENVT_AR_FB_22,10,36.1,Soil,391366,6466311,7.52,83,2654,2.07,9.54,1900,NA,5.72,5.35,5.72,2013,0.29,137.9,1.70,223.28,76.55,0.33,76.2,1.27,0.96,383.5,3.98,193.50,10.35,0.94,4.75,0.71,18.43
ENVT_AR_FB_28,11,9,Sediment,391340,6466427,7.06,NA,1743,3.62,9.87,1074,0.05,4.93,5.20,13.75,3841,0.63,151.4,2.65,332.75,15.32,0.76,111.8,1.75,2.09,80.1,27.11,3070.32,5.15,2.06,4.44,1.25,79.80
ENVT_AR_FB_31,11,10,Sediment,391340,6466437,5.28,NA,1713,1.91,5.90,7364,0.02,4.71,3.84,7.71,3215,0.38,202.4,2.88,406.83,21.35,0.28,69.3,1.54,1.81,73.1,9.87,495.92,16.04,2.24,6.62,1.22,37.20
ENVT_AR_FB_11,11,36B,Soil,391384,6466338,7.19,569,3667,2.36,12.07,2264,NA,7.59,7.35,7.67,2545,0.47,162.6,2.25,201.17,77.79,0.36,80.0,1.48,1.48,386.3,4.93,183.79,12.95,1.07,5.73,1.04,15.00
ENVT_AR_FB_8,11,37A,Soil,391381,6466300,8.61,438,2625,2.73,7.26,21945,NA,4.38,7.49,2.13,2039,0.30,102.0,2.35,308.65,65.28,0.12,72.1,0.24,0.47,60.1,4.44,42.96,43.24,2.12,4.89,1.21,5.59
ENVT_AR_FB_9,11,38A,Soil,391367,6466285,7.81,538,2602,1.54,11.38,26570,0.05,2.00,5.61,6.83,2507,0.33,176.0,1.70,1303.25,60.20,0.13,253.2,NA,0.81,241.5,17.74,249.77,179.42,1.90,6.98,0.84,22.58
ENVT_AR_FB_10,11,39A,Soil,391390,6466250,7.93,275,2782,4.23,16.42,7759,0.02,3.44,8.10,5.05,3358,0.28,104.4,1.63,340.49,22.50,0.22,75.7,0.47,1.54,166.6,25.89,170.74,38.41,1.48,7.11,1.30,43.68
ENVT_AR_FB_12,11,39B,Soil,391417,6466263,7.78,413,587,1.37,9.65,66286,0.07,NA,6.48,23.81,833,0.26,100.8,1.12,3253.43,21.74,0.05,552.2,NA,0.84,283.8,12.31,470.32,473.42,0.50,2.54,1.13,15.14
ENVT_AR_FB_2,12,1,Street dust,391187,6466516,6.99,NA,2336,1.45,19.47,11242,NA,9.13,11.77,40.82,4334,0.66,382.0,5.48,864.27,49.74,0.34,85.5,3.38,1.92,102.9,10.83,582.50,27.47,3.51,8.18,2.78,62.77
ENVT_AR_FB_3,12,2,Street dust,391078,6466540,7.93,NA,1668,0.73,27.71,3615,0.02,4.36,5.41,13.89,3037,0.39,207.5,2.42,408.40,27.21,0.22,48.1,1.81,1.26,49.9,15.79,97.19,12.78,1.60,4.89,0.87,78.12
ENVT_AR_FB_4,12,3,Street dust,391112,6466767,6.81,NA,3359,1.41,20.57,10193,0.03,5.79,9.91,9.92,3880,0.46,500.1,3.43,792.95,39.04,0.45,163.5,1.68,3.19,235.7,14.10,376.06,39.11,2.30,7.35,1.75,69.49
